CDL,Candle 2 Airport,65.907699585,-161.925994873
AOS,Amook Bay Seaplane Base,57.4715003967,-153.815002441
BSW,Boswell Bay Airport,60.4230995178,-146.145996094
AKM,Zakuoma Airport,10.8902777778,19.8172222222
TGE,Sharpe Field,32.4919013977,-85.7755966187
ALZ,Alitak Seaplane Base,56.8995018005,-154.248001099
PPE,Mar de Cortés International Airport,31.351987,-113.305177
AME,Alto Molocue Airport,-15.6102777778,37.6813888889
AMF,Ama Airport,-4.10111111111,141.67
AMG,Amboin Airstrip,-4.605642,143.485308
AMU,Amanab Airport,-3.586,141.214333333
AMY,Ambatomainty Airport,-17.6866666667,45.623888888900005
INU,Nauru International Airport,-0.547458,166.919006
ANZ,Angus Downs Airport,-25.0325,132.2748
CTV,Catoca Airport,-9.430985,20.311478
ANL,Andulo Airport,-11.4723,16.710899
CNZ,Cangamba Airport,-13.7106,19.861099
DRC,Dirico Airport,-17.981924057006836,20.7680606842041
GGC,Lumbala Airport,-12.6398773193,22.5868206024
KNP,Capanda Airport,-9.76937007904,15.4553194046
NDF,N'dalatando Airport,-9.280378,14.982432
AOA,Aroa Airport,-9.0254,146.8
AOB,Annanberg Airport,-4.90416666667,144.635833333
AOD,Abou-Deïa Airport,11.4773,19.2874
APP,Asapa Airport,-8.97916666667,148.103611111
APR,April River Airport,-4.67666666667,142.540138889
QET,Troll Airfield,-71.95714,2.45257
AQY,Girdwood Airport,60.968774,-149.119792
QRF,Bragado Airport,-35.145811,-60.480294
CVI,Caleta Olivia Airport,-46.37428,-67.59409
CNT,Charata Airport,-27.2164,-61.2103
VGS,General Villegas Airport,-34.995728,-62.999725
LMD,Los Menucos Airport,-40.817699,-68.074699
SZQ,Saenz Peña Airport,-26.815799713134766,-60.448299407958984
VCF,Valcheta Airport,-40.7000007629,-66.1500015259
NCJ,Sunchales Aeroclub Airport,-30.9575,-61.5283
CPG,Carmen de Patagones Airport,-40.7781,-62.9803
PRQ,Termal Airport,-26.753611,-60.492222
OLN,Colonia Sarmiento Airport,-45.582371,-68.999841
ARP,Aragip Airport,-9.88333333333,149.483333333
